#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
191.80406 29.458793 0.04989009 16.2833 16.6022 15.90126 3.050819
205.65576 27.547588 0.04947496 17.37503 18.08154 16.80001 1.959257
204.80739 27.863831 0.04888456 16.71231 16.9864 16.69021 4.258716
206.04906 27.228021 0.04993486 17.27091 17.7461 16.80395 2.323892
187.22445 28.839368 0.04977676 16.50525 17.16978 15.91276 2.190914
198.6776 30.056271 0.04981197 17.22147 17.66223 16.8776 3.921033
183.21435 27.40739 0 18.74315 20.28594 17.79954 1.39994
196.47116 27.552085 0 15.08355 15.76217 14.63333 5.281377
196.47543 27.640892 0 17.32512 17.97664 16.72777 2.890492
199.38257 26.357129 0 18.03434 19.52786 17.15988 2.016973
193.47709 26.409897 0.04494232 16.38433 16.8811 15.82616 1.395535
183.71539 30.321846 0 16.41129 17.03856 15.60642 6.020656
180.49872 30.236907 0 18.49117 20.39657 17.59403 2.51874
183.84973 29.979833 0 17.32763 18.51104 16.48774 1.75628
207.18845 24.112834 0 21.99244 23.22377 17.59051 0.5542713
208.81649 22.589912 0 19.0056 20.57946 17.66312 1.820976
204.72502 26.792519 0 16.67886 17.60564 15.94724 1.616796
204.30925 25.185121 0.03229351 16.9804 17.15276 16.7615 1.624955
207.20077 28.308563 0 14.61752 15.13201 14.40482 0.8018832
199.01632 29.381689 0.0377862 16.52529 16.40792 16.32902 1.721972
199.01632 29.381689 0 16.52529 16.40792 16.32902 1.721972
208.19575 27.727557 0 17.22114 17.74779 16.89413 0.7175682
205.04305 28.072324 0 16.57318 16.81321 16.48451 0.6748661
205.04305 28.072324 0 16.57318 16.81321 16.48451 0.6748661
198.99725 29.035111 0 18.03588 19.58927 16.98986 2.289336
196.60594 29.182347 0 18.55613 20.11067 17.61537 1.644008
193.56055 29.33292 0 17.35665 18.51117 16.48618 1.755758
189.81844 29.568239 0 17.8467 18.26439 17.68024 0.6820966
206.64014 27.099402 0 19.13222 19.2108 18.96382 0.8024252
198.94783 29.521368 0 16.92335 16.93534 17.0503 0.611449
199.07106 29.100762 0 17.20071 17.73132 16.73033 2.108027
199.05159 29.174353 0 17.64671 18.71384 16.84759 2.200816
199.02626 29.100477 0 17.25635 17.86766 16.83921 0.8998858
195.67744 29.129578 0 17.55931 18.6646 16.87422 1.659682
205.42938 31.900064 0 16.28897 17.25991 15.47346 2.6175
193.59237 33.246084 0 16.41599 16.7721 16.24323 0.91037
202.66543 31.286157 0.03405667 15.69551 15.60504 15.57443 2.123392
202.5724 31.332783 0.01612887 16.21243 16.04632 16.8641 4.798017
205.48533 30.519338 0.003196249 15.73975 15.93137 15.69687 2.918827
